P_ID,Long,Lat,H,h,N
609,28.92122865,41.20864699,85.171,121.62,36.449
191,28.93271578,41.09250447,16.385,52.972,36.587
473,28.94626898,41.05515497,4.329,40.896,36.567
121,28.96653429,41.15695188,178.167,214.624,36.457
642,29.01628143,41.03928453,0,36.494,36.494
127,28.91082009,41.13398851,94.522,131.119,36.597
409,28.99223152,41.09171966,83.415,119.92,36.505
434,28.95687428,41.05201549,92.793,129.348,36.555
729,29.12642503,41.14852392,124.518,160.734,36.216
155,28.76995879,41.22729455,94.714,131.379,36.665
708,28.97137264,41.02532894,28.967,65.504,36.537
20,29.01362988,41.0809148,129.666,166.151,36.485
502,29.11582301,40.98916592,85.936,122.44,36.504
461,28.99147711,41.10240139,71.021,107.519,36.498
82,28.93650182,41.22634728,168.117,204.505,36.388
49,28.81166993,41.01185908,11.889,48.497,36.608
88,28.80802124,41.2210658,155.771,192.391,36.62
56,29.06914731,41.18844524,59.828,96.012,36.184
529,28.92972995,41.16614108,79.059,115.572,36.513
170,28.92738307,41.09762821,41.981,78.574,36.593
660,28.95076462,41.00253976,5.637,42.185,36.548
108,28.8644455,41.10484083,153.281,189.964,36.683
368,28.79492355,41.12245313,141.378,178.146,36.768
397,28.92305615,41.1435095,60.382,96.945,36.563
162,28.9996613,41.15391041,98.42,134.824,36.404
760,29.07807286,40.98658937,34.667,71.167,36.5
517,29.01491046,41.11521764,74.798,111.251,36.453
115,29.10213094,41.22853146,52.569,88.562,35.993
615,28.88418224,41.11708546,79.049,115.703,36.654
78,28.75182733,41.07165999,98.19,134.939,36.749
299,28.81392049,41.03938504,48.062,84.714,36.652
298,28.94824143,41.17296296,93.576,130.038,36.462
144,28.8574688,41.21174192,86.731,123.294,36.563
539,28.78489144,40.97330717,11.494,48.036,36.542
488,28.77227203,41.04962417,13.851,50.547,36.696
248,28.8934698,41.04191715,49.568,86.177,36.609
325,28.85599523,41.10646778,145.229,181.923,36.694
412,29.11107768,41.13210123,161.913,198.207,36.294
458,28.97466536,41.0213038,0.519,37.052,36.533
563,28.79858125,41.04846178,63.421,100.097,36.676
97,28.92417441,41.15805134,82.948,119.486,36.538
77,29.11257915,41.07907495,63.731,100.133,36.402
178,28.85327986,41.20311988,51.579,88.168,36.589
110,29.03095929,41.15377394,5,41.352,36.352
598,28.93459133,41.1152301,80.587,117.161,36.574
140,28.86729751,41.09178291,139.351,176.024,36.673
176,28.8243442,41.09238994,111.015,147.733,36.718
533,29.14944466,40.91014711,43.999,80.536,36.537
733,29.06756359,41.1815397,18.433,54.641,36.208
55,29.11708766,41.15856511,95.784,131.979,36.195
256,28.8687954,40.99311946,36.133,72.702,36.569
359,29.04671507,41.21836167,135.871,172.024,36.153
544,29.13903023,41.08414228,105.646,142.022,36.376
689,28.81251981,41.03316517,38.096,74.739,36.643
494,29.094171,41.0972353,112.697,149.089,36.392
324,28.92090615,40.99150605,10.22,46.776,36.556
469,28.84947814,41.1758624,101.141,137.791,36.65
768,28.90782312,41.15718619,28.154,64.726,36.572
498,28.75379226,41.09899338,110.136,146.921,36.785
92,28.89944603,41.0047379,40.914,77.489,36.575
327,29.13881881,40.99958162,106.375,142.871,36.496
212,28.76243477,41.17086925,153.709,190.487,36.778
735,28.75024744,41.12738076,153.498,190.306,36.808
229,29.13928977,41.05388129,100.469,136.89,36.421
487,28.84451317,41.11961138,184.1,220.81,36.71
211,29.09965496,40.99895747,57.098,93.587,36.489
535,28.8068462,41.23126896,94.961,131.559,36.598
620,29.03021127,41.18661896,224.121,260.389,36.268
53,28.92316445,41.11827238,66.776,103.366,36.59
326,29.12356396,41.16593945,132.443,168.599,36.156
96,28.76260381,41.1670484,195.7,232.482,36.782
508,29.12398921,41.13350417,123.307,159.578,36.271
40,29.09623923,41.13048011,53.577,89.895,36.318
701,28.96660674,41.04238428,16.974,53.517,36.543
587,29.01262476,41.17662344,179.686,216.013,36.327
98,28.78888071,41.15639487,220.823,257.587,36.764
342,28.89466135,41.19360025,67.088,103.62,36.532
523,28.80243916,41.12703356,172.049,208.81,36.761
679,28.91744169,41.09455109,41.329,77.938,36.609
247,29.03686725,41.00919409,50.911,87.402,36.491
364,28.88224071,41.17385539,36.003,72.597,36.594
35,28.920455,41.06812277,47.765,84.365,36.6
70,28.98331064,41.0484645,91.037,127.562,36.525
714,28.85515024,40.99709273,54.426,91.002,36.576
580,29.04947337,41.2120298,105.779,141.941,36.162
474,29.11884322,41.0337556,115.503,151.953,36.45
37,28.87090261,41.2237399,119.585,156.098,36.513
234,28.89942415,41.03580974,71.901,108.502,36.601
774,29.00701996,41.09655564,121.745,158.227,36.482
343,28.85015627,41.17260184,82.878,119.533,36.655
173,29.01849626,41.06450377,113.769,150.255,36.486
661,28.79598486,40.99433732,64.802,101.385,36.583
748,29.01540172,41.17431656,178.221,214.549,36.328
213,29.05742106,41.020298,129.896,166.371,36.475
283,29.00972114,41.14494056,145.25,181.657,36.407
440,29.1222961,41.13716222,133.129,169.39,36.261
596,28.98444709,41.24476451,54.728,90.981,36.253
189,28.83979511,40.96518711,14.778,51.298,36.52
725,28.84963104,41.18620807,124.727,161.358,36.631
453,28.94307986,41.07457537,23.199,59.772,36.573
711,28.75349951,41.18013023,119.608,156.385,36.777
346,28.87133791,41.23465738,112.859,149.348,36.489
561,29.01280526,41.13822905,124.254,160.67,36.416
386,28.93704187,41.22393346,182.944,219.335,36.391
429,28.78552127,41.20843929,108.627,145.31,36.683
428,28.94672966,41.23412812,79.156,115.51,36.354
513,29.03378198,41.00992724,35.34,71.832,36.492
202,28.91499322,41.14330955,61.463,98.042,36.579
363,28.8206941,40.98546883,35.475,72.036,36.561
317,28.7868137,40.96490255,0,36.522,36.522
205,29.03622814,40.96638937,-0.071,36.439,36.51
667,28.86007323,41.01778556,85.98,122.582,36.602
421,28.93472238,41.0604147,66.555,103.137,36.582
724,28.81817106,41.05465006,60.986,97.66,36.674
102,28.98139877,41.13802297,117.703,154.17,36.467
681,29.07382216,41.16069164,16.121,52.383,36.262
594,28.9809321,41.00456877,14.467,50.995,36.528
682,28.76595338,41.24333924,91.892,128.527,36.635
94,29.07511774,41.00111311,68.812,105.298,36.486
611,29.04992602,41.05817613,0,36.46,36.46
618,29.03231821,41.0722801,102.54,139.009,36.469
403,28.84933117,41.14646812,187.023,223.714,36.691
600,28.84356582,41.091527,131.332,168.031,36.699
631,28.90001085,41.2222364,104.028,140.493,36.465
751,28.81876347,41.08461407,129.62,166.335,36.715
623,28.8823759,41.15438602,76.463,113.088,36.625
546,28.99568289,41.17323857,108.072,144.439,36.367
732,28.9299846,41.01383233,64.408,100.974,36.566
330,28.96883881,41.2334644,48.972,85.28,36.308
11,29.11190684,41.12758906,190.502,226.808,36.306
293,29.11507445,41.17730595,168.704,204.835,36.131
572,28.77511071,41.01187411,10.048,46.674,36.626
548,28.80751215,41.09176448,103.361,140.094,36.733
626,28.84560826,41.2284632,72.794,109.339,36.545
302,28.76462422,41.13794399,176.88,213.677,36.797
137,29.11207894,41.13905125,82.604,118.874,36.27
25,29.13048896,41.06952357,103.022,139.426,36.404
583,29.12063868,40.95092731,43.224,79.76,36.536
338,29.03061856,41.13640264,85.25,121.643,36.393
126,28.9341964,41.05882016,91.617,128.198,36.581
259,28.84588187,41.22400798,71.596,108.15,36.554
705,28.98994746,41.05892446,93.522,130.039,36.517
122,28.91637961,41.18594608,78.759,115.262,36.503
764,28.9384657,41.23661036,85.835,122.201,36.366
482,28.89901984,41.01170305,21.079,57.661,36.582
311,28.92047121,41.11698948,24.965,61.56,36.595
677,28.99882665,41.14199022,153.247,189.677,36.43
614,28.7633286,41.06508172,76.461,113.19,36.729
175,28.91327525,41.05641966,122.209,158.812,36.603
347,29.06554801,41.09752656,29.97,66.388,36.418
632,28.93035753,41.15953974,67.56,104.083,36.523
773,29.05851343,41.19451114,202.299,238.487,36.188
738,29.11899599,41.13148454,123.647,159.932,36.285
759,29.0265332,41.15753619,22.745,59.095,36.35
141,28.89452868,40.99489367,10.285,46.851,36.566
756,29.05020493,41.21731461,103.9,140.047,36.147
385,28.91489568,41.03752466,92.003,128.593,36.59
249,28.8251184,41.01113425,81.81,118.414,36.604
551,29.00734561,41.09343187,114.89,151.374,36.484
776,29.11493242,41.11201451,123.51,159.852,36.342
337,29.10034164,41.02399951,153.07,189.532,36.462
675,29.06243583,41.02469462,173.954,210.425,36.471
172,28.8277225,41.07875059,61.782,98.483,36.701
495,28.79390388,41.0916412,126.034,162.778,36.744
38,28.92255573,41.10313231,26.084,62.684,36.6
264,28.87043713,41.20509369,103.356,139.91,36.554
663,28.75943387,41.07568198,46.58,83.328,36.748
696,28.75921617,41.09828231,111.33,148.109,36.779
762,28.93657634,41.14616966,68.1,104.633,36.533
103,29.06106741,41.2451297,29.178,65.233,36.055
635,28.77288713,41.16607863,145.768,182.54,36.772
218,29.04433679,41.14439315,83.115,119.47,36.355
305,28.76844782,41.05218234,62.902,99.605,36.703
119,29.04446737,41.17312396,46.964,83.241,36.277
148,28.97901075,41.05172655,95.42,131.95,36.53
154,29.09522515,41.08614908,93.403,129.809,36.406
531,28.94129433,41.10062658,37.64,74.212,36.572
536,29.13945293,41.08103531,87.575,123.956,36.381
670,29.14949562,41.13936912,152.271,188.483,36.212
30,29.00672356,41.09784404,116.405,152.887,36.482
